Player_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1630608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1630577.0,2.22,5.43,0.36,1.36,3.74,0.29,1.01,1.24,0.38,0.57,2.22,2.78,1.39,0.65,0.57,0.77,1.04,6.81,-1.91
1631108.0,1.54,3.6,0.42,0.63,1.76,0.28,0.54,0.69,0.22,0.22,1.9,2.12,0.9,0.3,0.25,0.52,0.85,4.24,-0.25
1631321.0,1.33,2.75,0.28,0.08,1.0,0.03,1.0,1.25,0.35,0.67,1.17,1.83,0.83,0.58,0.25,0.25,1.5,3.75,2.08
1629634.0,5.5,9.83,0.55,0.17,1.0,0.17,0.17,1.17,0.08,2.17,3.17,5.33,1.5,0.83,1.0,0.5,1.33,11.33,-1.33
203903.0,6.13,14.84,0.39,1.65,5.62,0.26,3.22,3.65,0.72,0.89,2.53,3.42,5.04,0.64,0.11,2.65,1.47,17.13,-3.47
1629651.0,5.15,8.2,0.64,0.01,0.07,0.01,1.52,2.76,0.43,2.72,7.23,9.94,2.07,0.65,2.06,1.31,2.46,11.85,-3.93
1641730.0,2.17,4.04,0.39,0.52,1.43,0.18,0.91,1.3,0.29,1.13,2.39,3.52,0.78,0.35,0.7,0.65,1.09,5.78,-2.35
1629599.0,2.37,5.03,0.42,1.0,2.63,0.32,0.87,1.01,0.34,0.41,1.7,2.11,1.09,0.59,0.2,0.47,1.46,6.61,-1.31
1628381.0,5.84,10.97,0.53,1.26,3.41,0.34,2.16,2.72,0.63,2.31,6.15,8.46,1.13,0.59,0.9,1.44,2.81,15.1,-4.51
1628380.0,4.32,8.93,0.48,0.84,2.62,0.31,1.77,2.35,0.56,1.71,3.65,5.36,2.81,0.49,0.75,1.91,2.99,11.25,-5.7
201144.0,3.87,8.47,0.45,2.36,5.33,0.43,1.34,1.47,0.49,0.49,2.38,2.87,5.91,1.16,0.22,1.34,1.68,11.43,3.59
1626192.0,1.99,4.57,0.44,1.08,3.13,0.33,0.58,0.76,0.26,0.67,2.47,3.14,2.12,0.53,0.25,0.64,1.3,5.63,-0.18
1641731.0,2.98,6.86,0.45,1.02,2.94,0.32,1.46,2.08,0.48,0.89,3.17,4.06,1.75,0.9,0.76,1.38,2.17,8.44,-6.68
1641741.0,1.69,3.5,0.4,0.38,1.0,0.25,1.66,2.22,0.41,0.44,1.0,1.44,0.5,0.25,0.03,0.16,0.53,5.41,0.38
203496.0,1.48,3.38,0.36,0.66,1.93,0.23,0.76,0.9,0.29,1.07,2.28,3.34,0.83,1.34,0.62,0.38,1.93,4.38,3.59
1628470.0,2.04,4.74,0.41,1.13,2.89,0.36,0.51,0.68,0.25,1.3,2.79,4.09,1.09,0.57,0.4,0.6,2.08,5.72,-3.43
203109.0,2.28,5.4,0.42,1.16,3.32,0.31,0.52,0.72,0.2,0.62,2.6,3.22,1.32,0.76,0.18,0.46,1.48,6.24,-1.38
1630595.0,8.45,18.82,0.44,1.92,5.4,0.34,3.84,4.42,0.71,0.53,3.79,4.32,7.48,0.9,0.35,3.42,2.47,22.66,-5.65
203552.0,1.82,4.64,0.3,0.86,2.45,0.24,0.64,0.7,0.3,0.41,1.14,1.55,1.0,0.5,0.14,0.48,0.89,5.14,1.32
201939.0,8.78,19.53,0.44,4.82,11.84,0.41,4.04,4.38,0.86,0.5,3.96,4.46,5.12,0.73,0.38,2.84,1.58,26.43,2.55
1630700.0,2.28,5.1,0.42,0.69,2.21,0.32,0.56,0.87,0.19,1.02,2.85,3.87,2.69,1.39,0.41,0.97,1.66,5.8,1.15
203076.0,9.38,16.88,0.56,0.38,1.41,0.17,5.54,6.79,0.78,3.14,9.5,12.64,3.5,1.2,2.34,2.09,2.33,24.68,1.97
1631098.0,1.24,3.08,0.32,0.28,0.8,0.13,0.28,0.48,0.13,0.36,1.08,1.44,0.64,0.36,0.2,0.26,1.14,3.04,-3.0
1631120.0,0.62,1.5,0.3,0.38,0.88,0.29,0.38,0.5,0.19,0.25,1.0,1.25,1.25,0.12,0.12,0.25,0.5,2.0,2.88
201942.0,8.23,17.15,0.48,0.95,2.85,0.28,6.61,7.75,0.85,0.54,3.76,4.3,5.33,1.14,0.57,1.71,2.04,24.01,-0.77
1641926.0,2.5,4.75,0.31,0.25,2.0,0.08,0.25,0.75,0.12,0.25,2.0,2.25,1.0,0.0,0.25,0.75,0.25,5.5,-2.25
1628978.0,5.49,12.4,0.43,3.49,8.7,0.39,1.06,1.41,0.36,0.78,2.89,3.67,2.67,1.32,0.44,1.4,2.05,15.54,2.0
1631217.0,0.91,1.73,0.41,0.0,0.0,0.0,0.82,1.27,0.34,1.36,0.82,2.18,0.36,0.45,0.09,0.18,0.36,2.64,-0.18
1641711.0,3.15,7.42,0.39,1.47,4.02,0.3,0.73,0.85,0.28,0.45,1.75,2.2,1.13,0.57,0.03,0.83,1.45,8.5,-6.3
1631172.0,1.48,3.52,0.34,0.64,2.12,0.25,0.42,0.48,0.2,0.3,1.24,1.55,1.12,0.24,0.15,0.58,0.67,4.03,0.03
203915.0,3.3,8.42,0.37,1.63,4.84,0.32,2.22,2.76,0.58,0.39,2.3,2.7,4.68,0.67,0.29,1.2,1.82,10.46,0.88
1629029.0,11.49,23.6,0.48,4.06,10.63,0.37,6.83,8.69,0.79,0.84,8.4,9.24,9.8,1.41,0.54,4.03,2.13,33.86,4.56
1629652.0,3.65,8.32,0.43,1.97,5.01,0.39,1.62,1.96,0.49,0.94,2.66,3.59,1.43,0.91,0.59,0.94,2.89,10.89,4.39
1630245.0,4.74,9.46,0.48,1.57,3.88,0.34,1.12,1.38,0.4,0.71,2.13,2.84,3.18,0.89,0.47,1.36,2.18,12.16,-2.08
203083.0,3.38,6.08,0.56,0.0,0.04,0.0,1.63,2.76,0.5,3.35,5.61,8.96,0.47,0.92,0.61,1.03,1.77,8.39,0.34
1630537.0,1.36,3.56,0.32,0.75,2.15,0.26,0.44,0.56,0.21,0.44,1.36,1.8,0.75,0.47,0.14,0.44,1.36,3.9,-1.12
1627739.0,2.23,4.74,0.46,0.62,1.68,0.32,0.33,0.48,0.14,0.76,2.11,2.86,3.85,1.03,0.42,1.2,2.05,5.41,0.21
201142.0,10.01,19.15,0.53,2.24,5.43,0.42,4.83,5.64,0.8,0.55,6.05,6.6,5.04,0.92,1.21,3.25,1.77,27.09,3.87
1631105.0,5.72,9.25,0.62,0.0,0.07,0.0,2.34,2.97,0.58,3.15,8.48,11.62,2.41,0.54,0.77,2.11,3.15,13.79,-5.11
1631106.0,4.0,8.59,0.45,0.82,2.27,0.29,0.95,1.5,0.29,2.09,4.86,6.95,1.23,1.41,0.86,0.91,2.32,9.77,4.0
1630162.0,9.09,19.72,0.45,2.41,6.73,0.34,5.35,6.41,0.8,0.66,4.78,5.44,5.13,1.28,0.53,3.05,1.78,25.94,5.44
1630556.0,0.63,1.52,0.19,0.37,0.96,0.17,0.09,0.17,0.06,0.17,0.61,0.78,0.28,0.19,0.07,0.07,0.48,1.72,-0.83
1631165.0,1.88,4.07,0.34,1.23,2.95,0.29,0.46,0.61,0.21,0.56,1.61,2.18,1.49,0.89,0.51,0.65,1.96,5.44,1.65
203954.0,11.54,21.82,0.53,1.38,3.56,0.38,10.23,11.59,0.89,2.44,8.59,11.03,5.62,1.18,1.69,3.85,2.87,34.69,6.82
1629234.0,2.03,3.37,0.56,0.04,0.04,0.04,0.96,1.24,0.36,1.37,2.92,4.29,0.84,0.36,0.81,0.81,1.53,5.05,-1.43
203957.0,2.93,5.49,0.49,0.96,1.96,0.39,0.96,1.24,0.37,0.45,2.25,2.71,2.85,0.4,0.09,0.89,1.55,7.78,4.35
1628981.0,2.42,4.16,0.5,0.0,0.09,0.0,1.42,2.13,0.42,1.31,2.98,4.29,1.02,0.56,0.62,0.98,2.38,6.27,-2.13
1627827.0,3.16,7.51,0.41,1.72,4.94,0.33,0.49,0.68,0.22,1.6,3.06,4.66,1.57,0.82,0.56,0.87,2.21,8.53,-1.63
1630201.0,1.97,4.71,0.34,0.81,2.45,0.29,0.75,1.03,0.29,0.3,1.35,1.65,1.88,0.55,0.12,0.91,0.96,5.51,-2.59
